EmployeeID,HireDate,FacilityID,OrganizationLevel,CurrentFlag,SalesPersonFlag,JobTitle,BirthDate,MaritalStatus,Gender,NameFull,FacilityName,Region,Years,GrossPay,BaseSalary,SeniorityBonus,Overtime,Other,Total Other Pay
7,1999-01-02,3,3,1,0,Research and Development Manager,26472,M,F, Dorothy Underwood,Port Perry,East,2016,1262.25,1262.25,0.00,0.00,0.00,0.00
7,1999-01-02,3,3,1,0,Research and Development Manager,26472,M,F, Dorothy Underwood,Port Perry,East,2017,122.40,122.40,0.00,0.00,0.00,0.00
8,2002-04-02,5,4,1,0,Research and Development Engineer,23308,S,F, Lori Moore,Bronte,East,2012,62895.76,60740.72,0.00,834.05,1320.98,2155.04
8,2002-04-02,5,4,1,0,Research and Development Engineer,23308,S,F, Lori Moore,Bronte,East,2013,68771.92,64516.36,0.00,1505.78,2749.78,4255.55
8,2002-04-02,5,4,1,0,Research and Development Engineer,23308,S,F, Lori Moore,Bronte,East,2014,74917.31,69081.02,0.00,1070.08,4766.21,5836.29
8,2002-04-02,5,4,1,0,Research and Development Engineer,23308,S,F, Lori Moore,Bronte,East,2015,78091.05,74116.56,0.00,897.43,3077.06,3974.49
8,2002-04-02,5,4,1,0,Research and Development Engineer,23308,S,F, Lori Moore,Bronte,East,2016,86084.07,79141.13,0.00,1506.38,2871.07,4377.44
8,2002-04-02,5,4,1,0,Research and Development Engineer,23308,S,F, Lori Moore,Bronte,East,2017,95272.32,84969.57,396.90,2077.63,7828.22,10302.75
9,2003-10-07,3,4,1,0,Research and Development Engineer,27244,M,F, Marsha Spencer,Port Perry,East,2012,13684.32,13684.32,0.00,0.00,0.00,0.00
9,2003-10-07,3,4,1,0,Research and Development Engineer,27244,M,F, Marsha Spencer,Port Perry,East,2013,10919.61,10919.61,0.00,0.00,0.00,0.00
9,2003-10-07,3,4,1,0,Research and Development Engineer,27244,M,F, Marsha Spencer,Port Perry,East,2014,10707.45,10707.45,0.00,0.00,0.00,0.00
9,2003-10-07,3,4,1,0,Research and Development Engineer,27244,M,F, Marsha Spencer,Port Perry,East,2015,11744.47,11744.47,0.00,0.00,0.00,0.00
9,2003-10-07,3,4,1,0,Research and Development Engineer,27244,M,F, Marsha Spencer,Port Perry,East,2016,17605.72,17605.72,0.00,0.00,0.00,0.00
9,2003-10-07,3,4,1,0,Research and Development Engineer,27244,M,F, Marsha Spencer,Port Perry,East,2017,16067.17,16067.17,0.00,0.00,0.00,0.00
10,2001-10-05,5,4,1,0,Research and Development Manager,29420,M,F, Lydia Butler,Bronte,East,2012,89026.49,60740.64,0.00,23228.15,2438.33,25666.48
10,2001-10-05,5,4,1,0,Research and Development Manager,29420,M,F, Lydia Butler,Bronte,East,2013,108538.05,64543.42,0.00,37613.34,3583.24,41196.58
10,2001-10-05,5,4,1,0,Research and Development Manager,29420,M,F, Lydia Butler,Bronte,East,2014,114695.83,69050.55,0.00,36308.16,6335.86,42644.03
10,2001-10-05,5,4,1,0,Research and Development Manager,29420,M,F, Lydia Butler,Bronte,East,2015,103472.19,74145.92,0.00,20325.33,5794.06,26119.38
10,2001-10-05,5,4,1,0,Research and Development Manager,29420,M,F, Lydia Butler,Bronte,East,2016,115390.26,83015.41,0.00,26423.06,2988.73,29411.79
10,2001-10-05,5,4,1,0,Research and Development Manager,29420,M,F, Lydia Butler,Bronte,East,2017,136234.69,93212.11,453.61,34746.87,5319.26,40519.74
11,1998-03-06,5,3,1,0,Senior Tool Designer,32978,S,F, Carole Brock,Bronte,East,2015,82.62,82.62,0.00,0.00,0.00,0.00
12,2003-06-05,10,4,1,0,Tool Designer,21674,M,F, Phyllis Phillips,Sault Ste. Marie,West,2015,5214.75,5214.75,0.00,0.00,0.00,0.00
12,2003-06-05,10,4,1,0,Tool Designer,21674,M,F, Phyllis Phillips,Sault Ste. Marie,West,2016,8297.50,8297.50,0.00,0.00,0.00,0.00
12,2003-06-05,10,4,1,0,Tool Designer,21674,M,F, Phyllis Phillips,Sault Ste. Marie,West,2017,8876.55,8876.55,0.00,0.00,0.00,0.00
13,1997-05-26,5,4,1,0,Tool Designer,32615,M,F, Whitney Copeland,Bronte,East,2013,79650.86,77551.26,0.00,56.67,2042.93,2099.60
13,1997-05-26,5,4,1,0,Tool Designer,32615,M,F, Whitney Copeland,Bronte,East,2014,84920.02,82436.87,0.00,15.18,2467.97,2483.15
13,1997-05-26,5,4,1,0,Tool Designer,32615,M,F, Whitney Copeland,Bronte,East,2015,93325.08,88890.08,2166.71,669.96,1598.33,4435.00
13,1997-05-26,5,4,1,0,Tool Designer,32615,M,F, Whitney Copeland,Bronte,East,2016,93125.85,87226.02,2980.77,1109.73,1809.33,5899.82
13,1997-05-26,5,4,1,0,Tool Designer,32615,M,F, Whitney Copeland,Bronte,East,2017,95149.29,88979.22,3491.66,1106.38,1572.02,6170.07
14,2003-02-15,8,3,1,0,Senior Design Engineer,28863,S,F, Doreen Lambert,London,West,2012,78202.24,77163.89,0.00,0.00,1038.35,1038.35
15,1997-01-13,6,3,1,0,Design Engineer,32827,M,F, Diana Schmidt,Burlington,West,2012,44006.22,36693.59,0.00,0.00,7312.62,7312.62
15,1997-01-13,6,3,1,0,Design Engineer,32827,M,F, Diana Schmidt,Burlington,West,2013,40556.13,32187.56,0.00,0.00,8368.57,8368.57
15,1997-01-13,6,3,1,0,Design Engineer,32827,M,F, Diana Schmidt,Burlington,West,2014,61169.06,53036.44,0.00,0.00,8132.62,8132.62
15,1997-01-13,6,3,1,0,Design Engineer,32827,M,F, Diana Schmidt,Burlington,West,2015,69410.16,60794.23,0.00,331.35,8284.58,8615.93
15,1997-01-13,6,3,1,0,Design Engineer,32827,M,F, Diana Schmidt,Burlington,West,2016,63773.08,63396.35,0.00,376.74,0.00,376.74
15,1997-01-13,6,3,1,0,Design Engineer,32827,M,F, Diana Schmidt,Burlington,West,2017,67762.65,66888.65,711.93,162.07,0.00,874.00
16,1998-11-21,6,1,1,0,Marketing Manager,17788,S,F, Jean Smith,Burlington,West,2014,3073.01,3073.01,0.00,0.00,0.00,0.00
17,2003-09-09,1,2,1,0,Marketing Assistant,17491,S,F, Loretta Bass,Gravenhurst,East,2015,5140.31,4497.63,0.00,642.68,0.00,642.68
17,2003-09-09,1,2,1,0,Marketing Assistant,17491,S,F, Loretta Bass,Gravenhurst,East,2016,42481.16,39862.88,0.00,2618.29,0.00,2618.29
17,2003-09-09,1,2,1,0,Marketing Assistant,17491,S,F, Loretta Bass,Gravenhurst,East,2017,96817.73,62878.23,0.00,24592.76,4017.44,28610.20
18,2002-06-03,4,2,1,0,Marketing Specialist,21105,S,F, Willie Robbins,Pickering,East,2012,149311.32,113100.16,11310.16,19409.11,382.50,31101.77
18,2002-06-03,4,2,1,0,Marketing Specialist,21105,S,F, Willie Robbins,Pickering,East,2013,163750.51,113766.21,11376.73,31892.19,1530.00,44798.92
18,2002-06-03,4,2,1,0,Marketing Specialist,21105,S,F, Willie Robbins,Pickering,East,2014,175629.44,115223.97,11522.55,36520.23,5213.41,53256.20
18,2002-06-03,4,2,1,0,Marketing Specialist,21105,S,F, Willie Robbins,Pickering,East,2015,170356.92,117242.43,11724.37,29134.37,7423.44,48282.18
18,2002-06-03,4,2,1,0,Marketing Specialist,21105,S,F, Willie Robbins,Pickering,East,2016,163837.46,119433.28,11943.41,26878.95,1530.00,40352.36
18,2002-06-03,4,2,1,0,Marketing Specialist,21105,S,F, Willie Robbins,Pickering,East,2017,162634.93,15229.62,1522.98,8065.43,382.50,9970.91
19,2003-02-04,6,2,1,0,Marketing Assistant,17536,S,F, Miranda Hubbard,Burlington,West,2013,2469.93,2469.93,0.00,0.00,0.00,0.00
19,2003-02-04,6,2,1,0,Marketing Assistant,17536,S,F, Miranda Hubbard,Burlington,West,2014,2909.55,2909.55,0.00,0.00,0.00,0.00
19,2003-02-04,6,2,1,0,Marketing Assistant,17536,S,F, Miranda Hubbard,Burlington,West,2015,2586.72,2586.72,0.00,0.00,0.00,0.00
19,2003-02-04,6,2,1,0,Marketing Assistant,17536,S,F, Miranda Hubbard,Burlington,West,2016,10395.97,10371.11,0.00,24.87,0.00,24.87
19,2003-02-04,6,2,1,0,Marketing Assistant,17536,S,F, Miranda Hubbard,Burlington,West,2017,11074.91,11074.91,0.00,0.00,0.00,0.00
20,2003-03-07,5,2,1,0,Marketing Assistant,34273,M,F, Brooke Rodgers,Bronte,East,2012,4605.83,4605.83,0.00,0.00,0.00,0.00
21,2003-08-20,7,2,1,0,Marketing Specialist,22298,M,F, Irma Harper,Brantford,West,2017,1907.40,897.60,0.00,1009.80,0.00,1009.80
22,1997-12-29,4,2,1,0,Marketing Specialist,23146,S,F, Eleanor Meyer,Pickering,East,2016,5743.25,5743.25,0.00,0.00,0.00,0.00
22,1997-12-29,4,2,1,0,Marketing Specialist,23146,S,F, Eleanor Meyer,Pickering,East,2017,3635.28,3635.28,0.00,0.00,0.00,0.00
23,1999-10-04,7,2,1,0,Marketing Specialist,17376,M,F, Patricia Frazier,Brantford,West,2012,5278.47,5278.47,0.00,0.00,0.00,0.00
23,1999-10-04,7,2,1,0,Marketing Specialist,17376,M,F, Patricia Frazier,Brantford,West,2013,8752.62,8752.62,0.00,0.00,0.00,0.00
23,1999-10-04,7,2,1,0,Marketing Specialist,17376,M,F, Patricia Frazier,Brantford,West,2014,10336.68,10336.68,0.00,0.00,0.00,0.00
23,1999-10-04,7,2,1,0,Marketing Specialist,17376,M,F, Patricia Frazier,Brantford,West,2015,13313.04,13313.04,0.00,0.00,0.00,0.00
23,1999-10-04,7,2,1,0,Marketing Specialist,17376,M,F, Patricia Frazier,Brantford,West,2016,19108.13,19108.13,0.00,0.00,0.00,0.00
23,1999-10-04,7,2,1,0,Marketing Specialist,17376,M,F, Patricia Frazier,Brantford,West,2017,45895.02,44996.07,0.00,808.26,90.70,898.96
24,2002-12-31,6,2,1,0,Marketing Specialist,34722,M,F, Paulette Wade,Burlington,West,2012,86927.80,78984.38,7898.61,0.00,44.80,7943.41
24,2002-12-31,6,2,1,0,Marketing Specialist,34722,M,F, Paulette Wade,Burlington,West,2013,87723.58,79512.95,7997.43,0.00,213.20,8210.63
24,2002-12-31,6,2,1,0,Marketing Specialist,34722,M,F, Paulette Wade,Burlington,West,2014,45874.14,2656.43,265.65,0.00,0.00,265.65
25,2002-04-03,8,1,1,0,Vice President of Production,31468,S,F, Teri Crawford,London,West,2015,24433.32,22966.05,0.00,1294.01,173.26,1467.27
25,2002-04-03,8,1,1,0,Vice President of Production,31468,S,F, Teri Crawford,London,West,2016,43395.38,39669.87,0.00,3150.73,574.78,3725.51
25,2002-04-03,8,1,1,0,Vice President of Production,31468,S,F, Teri Crawford,London,West,2017,47024.21,45252.34,0.00,530.11,568.07,1098.18
26,2004-01-11,2,2,1,0,Production Control Manager,23222,M,F, Naomi Stokes,Bracebridge,East,2012,94568.75,85777.17,6004.54,0.00,0.00,6004.54
26,2004-01-11,2,2,1,0,Production Control Manager,23222,M,F, Naomi Stokes,Bracebridge,East,2013,94396.25,85415.51,6208.37,0.00,0.00,6208.37
26,2004-01-11,2,2,1,0,Production Control Manager,23222,M,F, Naomi Stokes,Bracebridge,East,2014,96295.31,85093.26,6611.64,0.00,1805.21,8416.85
26,2004-01-11,2,2,1,0,Production Control Manager,23222,M,F, Naomi Stokes,Bracebridge,East,2015,100877.88,88966.08,7355.97,0.00,4555.82,11911.79
26,2004-01-11,2,2,1,0,Production Control Manager,23222,M,F, Naomi Stokes,Bracebridge,East,2016,100079.96,89023.76,7808.31,0.00,425.34,8233.65
26,2004-01-11,2,2,1,0,Production Control Manager,23222,M,F, Naomi Stokes,Bracebridge,East,2017,99222.38,90803.08,8419.29,0.00,0.00,8419.29
27,2001-11-19,5,3,1,0,Production Supervisor - WC60,27539,S,F, Christine Barnett,Bronte,East,2014,2646.14,2646.14,0.00,0.00,0.00,0.00
27,2001-11-19,5,3,1,0,Production Supervisor - WC60,27539,S,F, Christine Barnett,Bronte,East,2015,3231.36,3231.36,0.00,0.00,0.00,0.00
28,1996-10-30,1,4,1,0,Production Technician - WC60,24214,M,F, Elena Harrington,Gravenhurst,East,2017,18692.69,18509.56,0.00,0.00,183.13,183.13
29,1996-06-01,8,4,1,0,Production Technician - WC60,29677,S,F, Rosa Watson,London,West,2012,13112.10,13112.10,0.00,0.00,0.00,0.00
29,1996-06-01,8,4,1,0,Production Technician - WC60,29677,S,F, Rosa Watson,London,West,2013,15554.49,15554.49,0.00,0.00,0.00,0.00
29,1996-06-01,8,4,1,0,Production Technician - WC60,29677,S,F, Rosa Watson,London,West,2014,13726.65,13726.65,0.00,0.00,0.00,0.00
29,1996-06-01,8,4,1,0,Production Technician - WC60,29677,S,F, Rosa Watson,London,West,2015,6633.06,6633.06,0.00,0.00,0.00,0.00
30,1997-01-13,1,4,1,0,Production Technician - WC60,17120,M,F, Alexandra Cunningham,Gravenhurst,East,2012,3192.59,3192.59,0.00,0.00,0.00,0.00
31,2000-02-13,7,4,1,0,Production Technician - WC60,24628,M,F, Nichole Briggs,Brantford,West,2012,2845.80,2845.80,0.00,0.00,0.00,0.00
31,2000-02-13,7,4,1,0,Production Technician - WC60,24628,M,F, Nichole Briggs,Brantford,West,2013,9018.33,9018.33,0.00,0.00,0.00,0.00
31,2000-02-13,7,4,1,0,Production Technician - WC60,24628,M,F, Nichole Briggs,Brantford,West,2014,12316.50,12316.50,0.00,0.00,0.00,0.00
31,2000-02-13,7,4,1,0,Production Technician - WC60,24628,M,F, Nichole Briggs,Brantford,West,2015,2411.28,2411.28,0.00,0.00,0.00,0.00
31,2000-02-13,7,4,1,0,Production Technician - WC60,24628,M,F, Nichole Briggs,Brantford,West,2016,10122.48,10122.48,0.00,0.00,0.00,0.00
31,2000-02-13,7,4,1,0,Production Technician - WC60,24628,M,F, Nichole Briggs,Brantford,West,2017,12714.30,12714.30,0.00,0.00,0.00,0.00
32,1997-06-20,8,4,1,0,Production Technician - WC60,26660,M,F, Ella Peters,London,West,2013,2928.59,2928.59,0.00,0.00,0.00,0.00
33,2001-02-09,7,4,1,0,Production Technician - WC60,30450,M,F, Yvette Dixon,Brantford,West,2017,174.42,174.42,0.00,0.00,0.00,0.00
34,1998-04-15,10,4,1,0,Production Technician - WC60,29596,M,F, Margarita Brooks,Sault Ste. Marie,West,2012,14025.66,13834.93,0.00,0.00,190.73,190.73
34,1998-04-15,10,4,1,0,Production Technician - WC60,29596,M,F, Margarita Brooks,Sault Ste. Marie,West,2013,2751.45,2553.07,0.00,0.00,0.00,0.00
35,1997-02-09,3,4,1,0,Production Technician - WC60,25659,M,F, Lydia Chambers,Port Perry,East,2012,164648.85,91375.04,9137.59,57191.52,382.50,66711.61
35,1997-02-09,3,4,1,0,Production Technician - WC60,25659,M,F, Lydia Chambers,Port Perry,East,2013,198486.75,97235.98,9723.74,83496.96,1530.00,94750.70
35,1997-02-09,3,4,1,0,Production Technician - WC60,25659,M,F, Lydia Chambers,Port Perry,East,2014,196659.77,98481.92,9466.73,80102.04,2711.65,92280.42
35,1997-02-09,3,4,1,0,Production Technician - WC60,25659,M,F, Lydia Chambers,Port Perry,East,2015,210243.80,100207.03,10402.45,89333.57,3928.55,103664.57
35,1997-02-09,3,4,1,0,Production Technician - WC60,25659,M,F, Lydia Chambers,Port Perry,East,2016,220179.80,102052.96,10205.43,94797.34,3193.32,108196.09
35,1997-02-09,3,4,1,0,Production Technician - WC60,25659,M,F, Lydia Chambers,Port Perry,East,2017,187317.68,105215.61,10521.69,37731.17,24248.07,72500.93
36,1998-12-10,7,4,1,0,Production Technician - WC60,32163,M,F, Becky Ward,Brantford,West,2013,2437.80,2437.80,0.00,0.00,0.00,0.00
37,1997-02-14,10,4,1,0,Production Technician - WC60,25882,S,F, Cristina Walker,Sault Ste. Marie,West,2012,1857.09,1857.09,0.00,0.00,0.00,0.00
38,2002-12-17,8,4,1,0,Production Technician - WC60,29247,M,F, Bethany Olson,London,West,2017,1055.58,1055.58,0.00,0.00,0.00,0.00
39,2001-03-02,9,4,1,0,Production Technician - WC60,22132,S,F, Mae Shaw,Sudbury,West,2016,867.00,836.40,0.00,30.60,0.00,30.60
40,2003-02-28,8,3,1,0,Production Supervisor - WC60,18673,S,F, Sonia Mccoy,London,West,2017,31924.83,29858.18,0.00,1399.28,667.37,2066.64
41,2002-01-10,2,4,1,0,Production Technician - WC60,25788,S,F, Laurie Glover,Bracebridge,East,2012,75703.14,67231.75,6387.14,221.73,0.00,6608.87
41,2002-01-10,2,4,1,0,Production Technician - WC60,25788,S,F, Laurie Glover,Bracebridge,East,2013,59668.13,53705.81,5187.13,775.20,0.00,5962.33
41,2002-01-10,2,4,1,0,Production Technician - WC60,25788,S,F, Laurie Glover,Bracebridge,East,2014,22779.45,18874.75,1887.51,0.00,0.00,1887.51
42,1996-04-30,4,4,1,0,Production Technician - WC60,18862,M,F, Blanca Larson,Pickering,East,2012,55297.55,55297.55,0.00,0.00,0.00,0.00
42,1996-04-30,4,4,1,0,Production Technician - WC60,18862,M,F, Blanca Larson,Pickering,East,2013,61183.59,57803.94,0.00,3379.65,0.00,3379.65
42,1996-04-30,4,4,1,0,Production Technician - WC60,18862,M,F, Blanca Larson,Pickering,East,2014,61741.74,60975.27,0.00,766.47,0.00,766.47
42,1996-04-30,4,4,1,0,Production Technician - WC60,18862,M,F, Blanca Larson,Pickering,East,2015,77172.39,66103.19,910.19,7276.70,2882.32,11069.20
42,1996-04-30,4,4,1,0,Production Technician - WC60,18862,M,F, Blanca Larson,Pickering,East,2016,68471.42,66278.40,2143.02,50.00,0.00,2193.02
42,1996-04-30,4,4,1,0,Production Technician - WC60,18862,M,F, Blanca Larson,Pickering,East,2017,70623.24,67759.14,2530.19,0.00,333.91,2864.10
43,1998-06-24,9,4,1,0,Production Technician - WC60,18759,M,F, Miriam Maxwell,Sudbury,West,2012,116920.36,105695.55,5657.25,3605.08,1962.48,11224.80
43,1998-06-24,9,4,1,0,Production Technician - WC60,18759,M,F, Miriam Maxwell,Sudbury,West,2013,121657.64,104585.59,5973.08,6601.48,714.00,13288.56
43,1998-06-24,9,4,1,0,Production Technician - WC60,18759,M,F, Miriam Maxwell,Sudbury,West,2014,128272.83,107368.24,6401.25,3713.94,5828.52,15943.72
43,1998-06-24,9,4,1,0,Production Technician - WC60,18759,M,F, Miriam Maxwell,Sudbury,West,2015,130754.32,108334.04,7000.20,5600.44,4735.76,17336.40
43,1998-06-24,9,4,1,0,Production Technician - WC60,18759,M,F, Miriam Maxwell,Sudbury,West,2016,154089.78,117318.46,8167.92,0.00,3060.00,11227.92
43,1998-06-24,9,4,1,0,Production Technician - WC60,18759,M,F, Miriam Maxwell,Sudbury,West,2017,143109.14,120856.68,9018.62,0.00,5073.54,14092.16
44,1998-04-30,10,4,1,0,Production Technician - WC60,31649,S,F, Ruby Munoz,Sault Ste. Marie,West,2012,225661.86,166318.56,0.00,0.00,11016.00,11016.00
44,1998-04-30,10,4,1,0,Production Technician - WC60,31649,S,F, Ruby Munoz,Sault Ste. Marie,West,2013,192456.92,172087.11,0.00,0.00,7038.00,7038.00
44,1998-04-30,10,4,1,0,Production Technician - WC60,31649,S,F, Ruby Munoz,Sault Ste. Marie,West,2014,193662.72,184552.08,0.00,0.00,0.00,0.00
44,1998-04-30,10,4,1,0,Production Technician - WC60,31649,S,F, Ruby Munoz,Sault Ste. Marie,West,2015,208443.79,194091.45,0.00,0.00,1222.08,1222.08
44,1998-04-30,10,4,1,0,Production Technician - WC60,31649,S,F, Ruby Munoz,Sault Ste. Marie,West,2016,218031.36,202795.01,0.00,0.00,1530.00,1530.00
44,1998-04-30,10,4,1,0,Production Technician - WC60,31649,S,F, Ruby Munoz,Sault Ste. Marie,West,2017,253187.55,225927.44,0.00,0.00,9690.00,9690.00
45,2003-11-30,2,4,1,0,Production Technician - WC60,29866,M,F, Raquel Grant,Bracebridge,East,2017,3047.25,2947.80,0.00,99.45,0.00,99.45
46,1996-01-30,10,4,1,0,Production Technician - WC60,19432,S,F, Kerry Becker,Sault Ste. Marie,West,2012,134456.84,89225.69,4993.31,35958.12,382.50,41333.93
46,1996-01-30,10,4,1,0,Production Technician - WC60,19432,S,F, Kerry Becker,Sault Ste. Marie,West,2013,133758.64,89742.80,5471.38,33054.81,1530.00,40056.20
46,1996-01-30,10,4,1,0,Production Technician - WC60,19432,S,F, Kerry Becker,Sault Ste. Marie,West,2014,144593.05,90901.38,5996.73,42126.96,1530.00,49653.69
46,1996-01-30,10,4,1,0,Production Technician - WC60,19432,S,F, Kerry Becker,Sault Ste. Marie,West,2015,161590.11,92493.88,6564.54,56863.36,1530.00,64957.89
46,1996-01-30,10,4,1,0,Production Technician - WC60,19432,S,F, Kerry Becker,Sault Ste. Marie,West,2016,137956.72,94201.99,7157.65,27937.29,1530.00,36624.94
46,1996-01-30,10,4,1,0,Production Technician - WC60,19432,S,F, Kerry Becker,Sault Ste. Marie,West,2017,151987.17,96534.79,7863.97,40199.54,1530.00,49593.50
47,2000-06-09,4,3,1,0,Production Supervisor - WC10,25039,S,F, Angelica Kelley,Pickering,East,2012,62602.38,60194.39,2407.99,0.00,0.00,2407.99
47,2000-06-09,4,3,1,0,Production Supervisor - WC10,25039,S,F, Angelica Kelley,Pickering,East,2013,75649.94,68582.28,2795.92,3929.47,342.26,7067.65
47,2000-06-09,4,3,1,0,Production Supervisor - WC10,25039,S,F, Angelica Kelley,Pickering,East,2014,91177.68,74220.49,3400.33,11147.41,0.00,14547.74
47,2000-06-09,4,3,1,0,Production Supervisor - WC10,25039,S,F, Angelica Kelley,Pickering,East,2015,101081.92,81451.37,3573.26,1299.69,957.49,5830.45
47,2000-06-09,4,3,1,0,Production Supervisor - WC10,25039,S,F, Angelica Kelley,Pickering,East,2016,91598.59,90068.59,0.00,0.00,1530.00,1530.00
47,2000-06-09,4,3,1,0,Production Supervisor - WC10,25039,S,F, Angelica Kelley,Pickering,East,2017,97411.90,92276.81,0.00,0.00,1530.00,1530.00
48,2002-11-12,3,4,1,0,Production Technician - WC10,33077,M,F, Carol Strickland,Port Perry,East,2012,1502.12,1502.12,0.00,0.00,0.00,0.00
49,1999-06-20,1,4,1,0,Production Technician - WC10,19414,S,F, Sylvia Carter,Gravenhurst,East,2012,68200.11,65593.17,2295.84,0.00,311.10,2606.94
49,1999-06-20,1,4,1,0,Production Technician - WC10,19414,S,F, Sylvia Carter,Gravenhurst,East,2013,53802.66,31535.36,1236.25,0.00,91.80,1328.05
50,2000-12-17,9,4,1,0,Production Technician - WC10,28454,M,F, Hannah Jackson,Sudbury,West,2012,3635.28,3635.28,0.00,0.00,0.00,0.00
51,1995-12-08,10,4,1,0,Production Technician - WC10,24848,S,F, Sheryl Bridges,Sault Ste. Marie,West,2012,87010.13,81795.33,4153.23,501.60,559.98,5214.80
